,Unnamed: 0,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz,combCase,PN,set
39,39,107,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p6,-3744.191010053711,50.26640871871947,-147.72174624328613,0.0,222.3678670068359,189.4382413461304,24,PN10,ULS - Set C - Variable Actions (Env.)
40,40,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p1,-3682.8770930664055,119.22957640991211,-108.54135736541748,0.0,283.3606131164551,413.2954226074218,21,PN09,SLS - Variable Actions (Env.)
41,41,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p1,-3696.282641406249,119.22957640991211,-108.54135736541748,0.0,229.0899625976563,353.68064667968747,21,PN09,SLS - Variable Actions (Env.)
42,42,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p2,-3280.370832910156,114.7748123916626,-109.14479407196043,0.0,276.8267534484864,383.4014702636719,21,PN09,SLS - Variable Actions (Env.)
43,43,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p2,-3293.77638125,114.7748123916626,-109.14479407196043,0.0,222.25437980957028,326.0140723632813,21,PN09,SLS - Variable Actions (Env.)
44,44,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p3,-3504.16936640625,47.52381475677491,-59.42880309600831,0.0,187.95036924438477,220.54023666992185,21,PN09,SLS - Variable Actions (Env.)
45,45,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p3,-3517.574914746094,47.52381475677491,-59.42880309600831,0.0,158.23598884277348,196.77833291015617,21,PN09,SLS - Variable Actions (Env.)
46,46,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p4,-2916.5490835937508,41.185550227355954,-60.72602953338623,0.0,173.65757744750974,177.94220825195313,21,PN09,SLS - Variable Actions (Env.)
47,47,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p4,-2929.9546319335946,41.185550227355954,-60.72602953338623,0.0,143.29457626953123,157.3494363769531,21,PN09,SLS - Variable Actions (Env.)
48,48,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p5,-2580.8746891601563,27.14967493591308,-87.23867078094483,0.0,190.18588406372072,140.24870454101563,21,PN09,SLS - Variable Actions (Env.)
49,49,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p5,-2594.2802375,27.14967493591308,-87.23867078094483,0.0,146.56657470703126,126.67386806640624,21,PN09,SLS - Variable Actions (Env.)
50,50,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p6,-2315.683564160157,24.09993930969238,-87.34062737884521,0.0,189.2486350402832,119.8340177734375,21,PN09,SLS - Variable Actions (Env.)
51,51,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C21p6,-2329.0891125000007,24.09993930969238,-87.34062737884521,0.0,145.57834516601562,107.7840486816406,21,PN09,SLS - Variable Actions (Env.)
52,52,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p1,-2715.9793393554687,6.607594009399414,-27.98747645568848,0.0,111.59930618286133,94.6740234375,22,PN09,SLS - Quasi-permanent (Env.)
53,53,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p1,-2729.3848876953125,6.607594009399414,-27.98747645568848,0.0,97.60557556152344,91.37022583007813,22,PN09,SLS - Quasi-permanent (Env.)
54,54,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p2,-2775.479349121094,6.958078903198242,-26.76436238098145,0.0,125.22794497680664,97.65406860351564,22,PN09,SLS - Quasi-permanent (Env.)
55,55,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C22p2,-2788.8848974609377,6.958078903198242,-26.76436238098145,0.0,111.84577404785156,94.17502978515626,22,PN09,SLS - Quasi-permanent (Env.)
56,56,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,-4954.185087631837,194.15334339065552,-181.28442955513003,0.0,435.619683279724,639.107925032959,23,PN09,ULS - Set A/B - Variable Actions (Env.)
57,57,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p1,-4972.282577890625,194.15334339065552,-181.28442955513003,0.0,344.97750172485365,542.0312707055663,23,PN09,ULS - Set A/B - Variable Actions (Env.)
58,58,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p2,-3122.348643940428,179.00416313461304,-186.06353254386903,0.0,385.5387594491576,535.6063359399413,23,PN09,ULS - Set A/B - Variable Actions (Env.)
59,59,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p2,-3135.08391486328,179.00416313461304,-186.06353254386903,0.0,292.50702861328114,446.1042698193358,23,PN09,ULS - Set A/B - Variable Actions (Env.)
60,60,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p3,-4504.833358476563,70.0034570400238,-97.22180427513123,0.0,268.710682013855,302.5491396325684,23,PN09,ULS - Set A/B - Variable Actions (Env.)
61,61,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p3,-4522.930848735352,70.0034570400238,-97.22180427513123,0.0,220.09981719726568,267.5474174707031,23,PN09,ULS - Set A/B - Variable Actions (Env.)
62,62,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p4,-2479.4485524023426,52.88616403526306,-102.7283492957306,0.0,210.47698451385503,185.7728842211914,23,PN09,ULS - Set A/B - Variable Actions (Env.)
63,63,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p4,-2492.1838233251947,52.88616403526306,-102.7283492957306,0.0,159.11283173706056,159.3298067871094,23,PN09,ULS - Set A/B - Variable Actions (Env.)
64,64,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p5,-3151.0728288818364,39.671113112335206,-140.71687443336486,0.0,274.15098961761475,182.92400727905283,23,PN09,ULS - Set A/B - Variable Actions (Env.)
65,65,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p5,-3169.170319140625,39.671113112335206,-140.71687443336486,0.0,203.7925804992676,163.08845266845697,23,PN09,ULS - Set A/B - Variable Actions (Env.)
66,66,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p6,-1557.020473159179,26.95051185806274,-144.6212216017914,0.0,233.83295552337648,95.80597197509766,23,PN09,ULS - Set A/B - Variable Actions (Env.)
67,67,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C23p6,-1569.7557440820303,26.95051185806274,-144.6212216017914,0.0,161.52236913574214,82.33071891113286,23,PN09,ULS - Set A/B - Variable Actions (Env.)
68,68,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p1,-3881.5776612597647,163.84638005477905,-154.54972961212158,0.0,362.152027454834,531.4542780566405,24,PN09,ULS - Set C - Variable Actions (Env.)
69,69,108,models\South Pier - Pilecap (STQ062)_+Fy+Fz.gwb,C24p1,-3894.983209599609,163.84638005477905,-154.54972961212158,0.0,284.87720033935545,449.531102631836,24,PN09,ULS - Set C - Variable Actions (Env.)
