,Unnamed: 0,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz,combCase,PN,set
49,49,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p5,-2399.0229250000007,26.947822366333,-87.3790247543335,0.0,146.64442666625976,124.93212832031249,21,PN09,SLS - Variable Actions (Env.)
50,50,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p6,-2120.4262516601566,23.898086740112305,-87.48098135223388,0.0,189.39666398620605,117.99135151367187,21,PN09,SLS - Variable Actions (Env.)
51,51,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C21p6,-2133.8318000000004,23.898086740112305,-87.48098135223388,0.0,145.65619712524412,106.04230893554684,21,PN09,SLS - Variable Actions (Env.)
52,52,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p1,-2520.722026855469,6.405741439819336,-28.12783042907715,0.0,111.7473351287842,92.83135717773438,22,PN09,SLS - Quasi-permanent (Env.)
53,53,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p1,-2534.1275751953126,6.405741439819336,-28.12783042907715,0.0,97.68342752075196,89.62848608398437,22,PN09,SLS - Quasi-permanent (Env.)
54,54,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p2,-2580.2220366210936,6.756226333618164,-26.90471635437012,0.0,125.3759739227295,95.81140234375,22,PN09,SLS - Quasi-permanent (Env.)
55,55,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C22p2,-2593.6275849609374,6.756226333618164,-26.90471635437012,0.0,111.92362600708007,92.4332900390625,22,PN09,SLS - Quasi-permanent (Env.)
56,56,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p1,-4690.587715756837,193.88084242172243,-181.47390741920472,0.0,435.8195223567199,636.6203255822753,23,PN09,ULS - Set A/B - Variable Actions (Env.)
57,57,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p1,-4708.685206015625,193.88084242172243,-181.47390741920472,0.0,345.08260186981204,539.6799220483397,23,PN09,ULS - Set A/B - Variable Actions (Env.)
58,58,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,-2936.8541970654287,178.81240319351198,-186.19686881858823,0.0,385.67938694778434,533.8558029931639,23,PN09,ULS - Set A/B - Variable Actions (Env.)
59,59,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p2,-2949.589467988281,178.81240319351198,-186.19686881858823,0.0,292.58098797454824,444.4496170605468,23,PN09,ULS - Set A/B - Variable Actions (Env.)
60,60,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p3,-4241.235986601563,69.7309560710907,-97.41128213920594,0.0,268.9105210908508,300.0615401818848,23,PN09,ULS - Set A/B - Variable Actions (Env.)
61,61,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p3,-4259.333476860352,69.7309560710907,-97.41128213920594,0.0,220.20491734222412,265.1960688134766,23,PN09,ULS - Set A/B - Variable Actions (Env.)
62,62,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p4,-2293.9541055273435,52.69440409416199,-102.86168557044984,0.0,210.6176120124817,184.02235127441404,23,PN09,ULS - Set A/B - Variable Actions (Env.)
63,63,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p4,-2306.689376450195,52.69440409416199,-102.86168557044984,0.0,159.18679109832766,157.67515402832032,23,PN09,ULS - Set A/B - Variable Actions (Env.)
64,64,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p5,-2887.475457006836,39.3986121434021,-140.90635229743958,0.0,274.35082869461064,180.43640782836923,23,PN09,ULS - Set A/B - Variable Actions (Env.)
65,65,108,models\South Pier - Pilecap (100% Design)_+Fy+Fz.gwb,C23p5,-2905.572947265625,39.3986121434021,-140.90635229743958,0.0,203.897680644226,160.73710401123043,23,PN09,ULS - Set A/B - Variable Actions (Env.)
