,elementIndex,modelName,combCasePerm,Fx,Fy,Fz,Mxx,Myy,Mzz
775,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C22p2,-8041.364841796875,-9.015409700393677,263.26086302948,0.0,-61.08118273925781,10.223298278808594
776,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p1,-10701.56695826172,182.87801633478165,244.5399088459778,0.0,45.232036772460965,518.5008837130739
777,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p1,-10719.664446542969,182.87801633478165,244.5399088459778,0.0,167.50197841430662,427.06184788208
778,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p2,-6207.053458085938,182.30359776582722,267.4162387911987,0.0,-392.3428831176757,496.55963731887823
779,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p2,-6219.788727617188,182.30359776582722,267.4162387911987,0.0,-258.63479714233404,405.40781117782575
780,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p3,-12458.206422841798,61.959774601383224,258.4771987791443,0.0,201.57904380371102,202.29668022796633
781,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p3,-12476.303911123048,61.959774601383224,258.4771987791443,0.0,330.8176392810058,171.31678037231444
782,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p4,-7461.395829541014,61.299090500812525,284.012518125,0.0,-287.43351135498045,177.69300826980592
783,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p4,-7474.131099072264,61.299090500812525,284.012518125,0.0,-145.42726532836912,147.04345167221072
784,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p5,-12607.367608183595,75.58017918481828,304.72851698348995,0.0,150.72731826660166,256.6582616836548
785,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p5,-12625.465096464846,75.58017918481828,304.72851698348995,0.0,303.09155171508786,218.86815908386234
786,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p6,-8742.098022304688,75.10963918092729,324.2420440014649,0.0,-221.97245201416035,238.01039837173465
787,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C23p6,-8754.833291835937,75.10963918092729,324.2420440014649,0.0,-59.85145831420904,200.45556534225466
788,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p1,-8534.769659355468,150.9953628631592,259.55767248016366,0.0,-165.4300014746093,423.4571054589845
789,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p1,-8548.17520623047,150.9953628631592,259.55767248016366,0.0,-35.65118001953128,347.95940054321284
790,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p2,-6638.473716777345,150.95414119041442,270.8312613839723,0.0,-376.4009790527345,415.70893074829115
791,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p2,-6651.879263652344,150.95414119041442,270.8312613839723,0.0,-240.98537621093752,340.23183628784176
792,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p3,-10028.935920068361,48.377910117187504,271.3688664733887,0.0,-32.4108202246094,155.09342054077152
793,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p3,-10042.34146694336,48.377910117187504,271.3688664733887,0.0,103.27360728271483,130.9044545275879
794,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p4,-7702.704234677737,48.261313015365616,284.9159677679443,0.0,-287.3908847509766,145.06226494873047
795,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p4,-7716.109781552736,48.261313015365616,284.9159677679443,0.0,-144.93291815673828,120.93159844238278
796,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p5,-10139.196916621095,59.76193296356202,310.25694281036385,0.0,-76.65847961914051,200.65535313720704
797,116,models\South Pier - Pilecap (100% Design)_+Fy-Fz.gwb,C24p5,-10152.602463496094,59.76193296356202,310.25694281036385,0.0,78.46996171874999,170.77437455566408
