,,Fx,Fy,Fz,Mxx,Myy,Mzz
214,Res_0,-2620.484401046753,-44.17954551178218,41.85893360191576,0.0,-36.84138097739217,-38.95907566487789
214,Res_1,-2634.799260421753,-44.17954551178218,41.85893360191576,0.0,5.017550841540052,5.220470831260087
215,Res_0,-2634.8008274383546,-13.752263357222082,13.00935099302231,0.0,5.017553798824502,5.220468203410508
215,Res_1,-2649.1156868133544,-13.752263357222082,13.00935099302231,0.0,18.026904812551972,18.97273122734018
216,Res_0,-2649.1162930145265,2.7514226853176957,-2.63021074035762,0.0,18.02690541033068,18.97271960503981
216,Res_1,-2663.4311523895262,2.7514226853176957,-2.63021074035762,0.0,15.396694402895825,16.22129752508551
217,Res_0,-2663.430321456909,8.803101759014652,-8.358621252246175,0.0,15.396696308784144,16.22129588133097
217,Res_1,-2677.7451808319092,8.803101759014652,-8.358621252246175,0.0,7.03807495737074,7.418193991869689
219,Res_0,-4813.738798919678,128.2238388381005,-180.58249937182666,0.0,-193.3703442211132,-358.265971496582
219,Res_1,-4828.053660247803,128.2238388381005,-180.58249937182666,0.0,-373.9528668956738,-486.48980102157594
220,Res_0,-4828.05881552124,64.97809273147587,-115.22708070516602,0.0,-373.95317433929256,-486.4900167579651
220,Res_1,-4842.373676849365,64.97809273147587,-115.22708070516602,0.0,-489.18024912452523,-551.4681125984192
221,Res_0,-4842.365539154052,30.449908423423796,-78.16567985677742,0.0,-489.1800702590925,-551.4679500980377
221,Res_1,-4856.680402435303,30.449908423423796,-78.16567985677742,0.0,-567.3457712554916,-581.91785994339
222,Res_0,-4856.689547943115,-145.67408383369445,123.18100155448865,0.0,-567.3457148103699,-581.9179490585328
222,Res_1,-4871.004411224365,-145.67408383369445,123.18100155448865,0.0,-444.1647067775716,-436.2438617610932
223,Res_0,-4870.994231536865,-174.73833252215388,168.13954537820769,0.0,-444.1646974868764,-436.24392092132575
223,Res_1,-4885.309098724365,-174.73833252215388,168.13954537820769,0.0,-276.02514784336034,-261.5055940132142
224,Res_0,-4885.318974700928,-138.62022593164448,139.98319130754436,0.0,-276.02515804576814,-261.50561130142216
224,Res_1,-4899.633834075928,-138.62022593164448,139.98319130754436,0.0,-136.04196923327422,-122.8853890962601
225,Res_0,-4899.622661224365,-86.71436430454256,90.79093810224515,0.0,-136.04196412968614,-122.88539583301548
225,Res_1,-4913.937520599366,-86.71436430454256,90.79093810224515,0.0,-45.251027731776205,-36.1710312176943
226,Res_0,-4913.944808685303,-42.43673820686341,46.4373770966529,0.0,-45.25101940822598,-36.171029575347916
226,Res_1,-4928.259668060303,-42.43673820686341,46.4373770966529,0.0,1.186357178688003,6.265709128856657
227,Res_0,-4928.2573330993655,-12.849633845679465,15.692888390824184,0.0,1.1863641333579553,6.265712399482726
227,Res_1,-4942.572192474366,-12.849633845679465,15.692888390824184,0.0,16.879253004074034,19.115346592605114
228,Res_0,-4942.5728682556155,3.052059913873672,-1.4854907433688471,0.0,16.8792579749822,19.115351056694983
228,Res_1,-4956.887727630616,3.052059913873672,-1.4854907433688471,0.0,15.393766742646651,16.06329131096602
229,Res_0,-4956.889063934326,8.770364203820005,-8.17177799752352,0.0,15.393769908755974,16.063288002938034
229,Res_1,-4971.2039233093265,8.770364203820005,-8.17177799752352,0.0,7.221991918593627,7.292923898130656
231,Res_0,454.0417172241211,177.54545965385435,-143.13580022692682,0.0,-276.23266822507793,-235.8991075363161
231,Res_1,439.7268558959961,177.54545965385435,-143.13580022692682,0.0,-419.36844436931426,-413.4445614395143
232,Res_0,439.72487786865236,109.79917222404477,-81.96151200735584,0.0,-419.3686781892758,-413.44466014480605
232,Res_1,425.41001654052735,109.79917222404477,-81.96151200735584,0.0,-501.3301787662489,-523.2438192691804
233,Res_0,425.41194818115235,71.66012296867366,-48.01568249321004,0.0,-501.33013153648204,-523.2438272686006
233,Res_1,411.09708489990237,71.66012296867366,-48.01568249321004,0.0,-549.3458300781235,-594.903947235465
234,Res_0,411.09305950927734,-133.16931977558139,130.0292878327365,0.0,-549.3459005603776,-594.9039365459681
234,Res_1,396.77819622802735,-133.16931977558139,130.0292878327365,0.0,-419.31661413574113,-461.7346138277054
235,Res_0,396.78794818115233,-176.7791206559539,164.07392167139008,0.0,-419.31663698959244,-461.73456712150573
235,Res_1,382.47308099365233,-176.7791206559539,164.07392167139008,0.0,-255.2427234601969,-284.95544961357115
236,Res_0,382.46486395263673,-145.75537447810174,132.78270595979657,0.0,-255.24271748733466,-284.9554578771591
