,element_nos,Cs,xDivL,Fx,Mres
2743,115,C54,1.0,-873.6076190075684,149.4746640890708
2744,116,C54,0.0,-873.6105324304199,149.47481866760117
2745,116,C54,1.0,-883.2031894616698,185.85989899007507
2746,117,C54,0.0,-883.200330140381,185.8599372059305
2747,117,C54,1.0,-892.7929898083497,184.7561548070012
2748,118,C54,0.0,-892.7926197155763,184.75617438609515
2749,118,C54,1.0,-902.3852767468263,151.43117210888892
2750,119,C54,0.0,-902.3882757556153,151.43119219432174
2751,119,C54,1.0,-911.9809327868652,103.95087209325953
2752,120,C54,0.0,-911.9778063317871,103.95085918692807
2753,120,C54,1.0,-921.5704633630372,56.26195420695529
2754,121,C54,0.0,-921.5742364880373,56.261948292726494
2755,121,C54,1.0,-931.1668935192872,21.901490218201584
2756,122,C54,0.0,-931.1635453796388,21.901493235511467
2757,122,C54,1.0,-940.7561971374512,7.126946666185872
2758,123,C54,0.0,-940.7557005993652,7.126945635034464
2759,123,C54,1.0,-950.3483576306152,8.384986723532343
2760,124,C54,0.0,-950.3519956677246,8.38498882149311
2761,124,C54,1.0,-959.9446526989747,5.851230253797896
2762,125,C54,0.0,-959.9414068786622,5.851230584229262
2763,125,C54,1.0,-969.5340639099121,2.3254517347201253
2764,126,C54,0.0,-969.533564276123,2.3254517892041155
2765,126,C54,1.0,-979.126221307373,2.5080973401971527e-07
2766,128,C54,0.0,-2172.4948391040043,281.5070449221121
2767,128,C54,1.0,-2182.087496464844,147.28332156220137
2768,129,C54,0.0,-2182.08858522461,147.283106687923
2769,129,C54,1.0,-2191.68124225586,149.5077203239525
2770,130,C54,0.0,-2191.685964414063,149.50775137392407
2771,130,C54,1.0,-2201.2786214453126,188.97997995301105
2772,131,C54,0.0,-2201.273520302735,188.98013156394487
2773,131,C54,1.0,-2210.866179970704,190.07218958250908
2774,132,C54,0.0,-2210.8671942675783,190.07212865297132
2775,132,C54,1.0,-2220.459851298828,157.0265076738825
2776,133,C54,0.0,-2220.4625218945325,157.02646089038538
2777,133,C54,1.0,-2230.055178925782,108.58601001420946
2778,134,C54,0.0,-2230.051286259766,108.58602680504839
2779,134,C54,1.0,-2239.643943291016,59.38393042502579
2780,135,C54,0.0,-2239.647316669922,59.38393877277932
2781,135,C54,1.0,-2249.239973701172,23.42081348898795
2782,136,C54,0.0,-2249.2392830957033,23.42081526109903
2783,136,C54,1.0,-2258.831934853516,7.177625430219019
2784,137,C54,0.0,-2258.827603300782,7.1776283505179235
2785,137,C54,1.0,-2268.4202603320323,8.524935147233588
2786,138,C54,0.0,-2268.426946240235,8.52493564226233
2787,138,C54,1.0,-2278.019603271485,6.039302798028007
2788,139,C54,0.0,-2278.0145631542973,6.039303784137701
2789,139,C54,1.0,-2287.607220185548,2.421338894494946
2790,140,C54,0.0,-2287.6076268261722,2.4213387758664595
2791,140,C54,1.0,-2297.200283857422,2.547531952818492e-07
2792,142,C54,0.0,-530.857936138916,260.66830915010263
2793,142,C54,1.0,-540.4505934997559,133.29912473176495
2794,143,C54,0.0,-540.4508773181153,133.29944134087538
2795,143,C54,1.0,-550.0435343493652,149.22747531032448
2796,144,C54,0.0,-550.0469941296386,149.22768930313538
2797,144,C54,1.0,-559.6396511608885,191.38321757700012
2798,145,C54,0.0,-559.6361021228028,191.3831338346616
2799,145,C54,1.0,-569.2287617907715,191.59233672489322
2800,146,C54,0.0,-569.228535057373,191.59241813646037
2801,146,C54,1.0,-578.8211920886231,157.31648386079445
2802,147,C54,0.0,-578.825210111084,157.31651191587264
2803,147,C54,1.0,-588.4178671423339,107.95744183343902
2804,148,C54,0.0,-588.4136626892089,107.95741533047487
2805,148,C54,1.0,-598.0063197204589,58.18429407886078
2806,149,C54,0.0,-598.010284642334,58.184299286479465
2807,149,C54,1.0,-607.6029416735839,22.259360150599086
2808,150,C54,0.0,-607.5995345495605,22.25935955286757
2809,150,C54,1.0,-617.1921863073729,6.8371860961129105
2810,151,C54,0.0,-617.1898802673338,6.837186752958517
2811,151,C54,1.0,-626.7825372985839,8.633437838917201
2812,152,C54,0.0,-626.7883832751465,8.633437437074567
2813,152,C54,1.0,-636.3810403063965,6.073847939348393
2814,153,C54,0.0,-636.3773222204591,6.073848397785757
