,element_nos,Cs,xDivL,Fx,Mres
1154,47,C41,0.0,-2184.7844006821247,384.079786486272
1155,47,C41,1.0,-2219.531586619625,160.22326546941156
1156,48,C41,0.0,-2219.5322141229058,160.2233000543556
1157,48,C41,1.0,-2254.2794000604054,42.41121907362613
1158,49,C41,0.0,-2254.2797977152063,42.41120626306341
1159,49,C41,1.0,-2289.0269836527063,1.3545255651294534e-05
1160,51,C41,0.0,-1780.5507126887467,905.2830689873955
1161,51,C41,1.0,-1797.9243037327433,1313.2698007939266
1162,52,C41,0.0,-1797.952919493084,1313.270099085946
1163,52,C41,1.0,-1832.700102793865,2031.3323905405566
1164,53,C41,0.0,-1832.6853782953453,2031.3327232252725
1165,53,C41,1.0,-1867.4325589594077,1982.276272784807
1166,54,C41,0.0,-1867.4452440759087,1982.2760218772414
1167,54,C41,1.0,-1902.192424739971,1582.727232045249
1168,55,C41,0.0,-1902.197739042726,1582.7270224693084
1169,55,C41,1.0,-1936.9449249802256,1096.4338461716657
1170,56,C41,0.0,-1936.9229884528158,1096.4337821120012
1171,56,C41,1.0,-1971.6701743903159,664.5946239872002
1172,57,C41,0.0,-1971.688714791241,664.5946105213218
1173,57,C41,1.0,-2006.435900728741,344.097417587122
1174,58,C41,0.0,-2006.4279930307578,344.09743780511843
1175,58,C41,1.0,-2041.1751789682578,141.21876459431027
1176,59,C41,0.0,-2041.1754940368464,141.21880001008913
1177,59,C41,1.0,-2075.922679974346,36.43521965239615
1178,60,C41,0.0,-2075.921603888302,36.4352091091772
1179,60,C41,1.0,-2110.6687898258024,1.2071608722781516e-05
1180,62,C41,0.0,-1517.589796005883,1205.8864757667595
1181,62,C41,1.0,-1534.9633870498799,1498.144664857009
1182,63,C41,0.0,-1534.9720286656382,1498.1445932291772
1183,63,C41,1.0,-1569.7192119664196,2004.2256645742425
1184,64,C41,0.0,-1569.7269126297954,2004.2253058394433
1185,64,C41,1.0,-1604.4740932938578,1863.9815182434752
1186,65,C41,0.0,-1604.4581708438257,1863.9811361845238
1187,65,C41,1.0,-1639.2053515078883,1445.37100908799
1188,66,C41,0.0,-1639.2282203641705,1445.3708323254145
1189,66,C41,1.0,-1673.97540630167,977.251541237213
1190,67,C41,0.0,-1673.9588813297466,977.2514002273459
1191,67,C41,1.0,-1708.706067267247,577.6879493947521
